,AJM,MGH,CCA,SFE,UAX,CUA,NEZ,CAM,LPR,SJA,CHO,IZT,SAG,TAH,ATI,FAC,UIZ,MER,PED,TLA,BJU,XAL
CHO,0.8341264682634036,0.8708179163584024,0.8825862341284683,0.8163924853220292,0.9159323542440537,0.8414187883213665,0.9086449001450304,0.8910787045976887,0.871486438760553,0.8866033952221664,1.0,0.8916949450101057,0.8893607641720983,0.9410858302770628,0.8704161492928385,0.863278070689512,0.918283569018468,0.8852620582420279,0.8724774912423483,0.8898668766250964,0.8909997037468699,0.8776933988489265
IZT,0.9275748308989104,0.9626304366728957,0.9687682875305352,0.901772087186091,0.9707191775941175,0.9202040146460053,0.9528575696931209,0.963974348053505,0.9043236971638458,0.9629773838586371,0.8916949450101057,1.0,0.9515595250383568,0.9353771632934422,0.9344590187638466,0.9410691394248327,0.9758963790479311,0.9814484574286686,0.9578922314527769,0.9443107445391724,0.9847550094405176,0.9264643911561232
SAG,0.8809440170065337,0.9344605361407957,0.9265529688317212,0.8830004761764961,0.9506197101540059,0.898562198678473,0.9517533575539103,0.9512351299894055,0.9280299110551428,0.9567483949501036,0.8893607641720983,0.9515595250383568,1.0,0.9208828212451144,0.9407327376532748,0.9361269357691968,0.9571683173002655,0.9511168175763995,0.9174406829661544,0.9446443057754761,0.9429701563036157,0.9492774043004314
TAH,0.8952894620137601,0.9253781058550741,0.9274836712502122,0.8664079939182178,0.955882856589484,0.8930555630914411,0.9335222291171442,0.9380803471227273,0.8857976296210001,0.9274468521670627,0.9410858302770628,0.9353771632934422,0.9208828212451144,1.0,0.9120481603854423,0.915411873283749,0.9510892352945356,0.9317083988131835,0.9211393376070738,0.9283342672589285,0.9394307411465005,0.8972060499320812
ATI,0.8872126144477164,0.9365221256100404,0.923020158892744,0.9108570967801579,0.9282492874157803,0.9238155023499097,0.9287841116770817,0.9435163160039188,0.901193644300088,0.9371789463376865,0.8704161492928385,0.9344590187638466,0.9407327376532748,0.9120481603854423,1.0,0.9617580290553478,0.9364848790974152,0.9355793226226566,0.9222106100630331,0.9683372097205417,0.9355739131685737,0.9079949971239732
FAC,0.8950873126035511,0.9465278127193469,0.9274701100289149,0.9123640379059104,0.9330239999002993,0.9320718759122523,0.9232730878655754,0.9540054093917187,0.8972455635743989,0.938437847776655,0.863278070689512,0.9410691394248327,0.9361269357691968,0.915411873283749,0.9617580290553478,1.0,0.9344222036936319,0.9408390915782793,0.9299808264810716,0.9697577378477937,0.9446367847525285,0.90645729924892
UIZ,0.9152580549486995,0.9499889246657022,0.951107152705086,0.896009377855595,0.976448502329093,0.9139176944766827,0.9716072737930971,0.9621894875433489,0.9134700142637158,0.9623369521048643,0.918283569018468,0.9758963790479311,0.9571683173002655,0.9510892352945356,0.9364848790974152,0.9344222036936319,1.0,0.9690701166144925,0.9453639848423343,0.9477933509311602,0.9657424547231711,0.9270704546769467
MER,0.9144687405165409,0.9646591235735321,0.9526575304296817,0.9034928237957428,0.9598360390676677,0.9219649061816004,0.9516095543216206,0.9714993836640731,0.9156722596610616,0.9800649654972061,0.8852620582420279,0.9814484574286686,0.9511168175763995,0.9317083988131835,0.9355793226226566,0.9408390915782793,0.9690701166144925,1.0,0.9493692796850557,0.9500267574637954,0.9727350269422835,0.9285077273883864
PED,0.9616938689452821,0.9692730434342727,0.9898472996127805,0.9218166164197765,0.9556930785935212,0.942691880654596,0.9285672791125406,0.9486601548511012,0.8861109084001068,0.9298904630297694,0.8724774912423483,0.9578922314527769,0.9174406829661544,0.9211393376070738,0.9222106100630331,0.9299808264810716,0.9453639848423343,0.9493692796850557,1.0,0.9352372032333744,0.9756191610628753,0.9022193884447631
TLA,0.8948009714679731,0.9500193227251088,0.9330094271335666,0.8956334570559069,0.9420037971670947,0.9180923013392528,0.9304605833873929,0.9695229541768098,0.9158351798043189,0.9447919986697401,0.8898668766250964,0.9443107445391724,0.9446443057754761,0.9283342672589285,0.9683372097205417,0.9697577378477937,0.9477933509311602,0.9500267574637954,0.9352372032333744,1.0,0.949379734053228,0.9238263241033093
BJU,0.9410958458678974,0.9747027980114252,0.9826865225534183,0.9112060087974542,0.971414899015904,0.9348520056278877,0.9451115386644228,0.964484210637119,0.908388888006584,0.9539605486318321,0.8909997037468699,0.9847550094405176,0.9429701563036157,0.9394307411465005,0.9355739131685737,0.9446367847525285,0.9657424547231711,0.9727350269422835,0.9756191610628753,0.949379734053228,1.0,0.9233405976136871
XAL,0.8448052389696101,0.9183211694994216,0.9090706445619391,0.8169708395768587,0.9195427563706021,0.8571900531410941,0.9064780313004199,0.9364733521084091,0.9611632608329821,0.9338385866706006,0.8776933988489265,0.9264643911561232,0.9492774043004314,0.8972060499320812,0.9079949971239732,0.90645729924892,0.9270704546769467,0.9285077273883864,0.9022193884447631,0.9238263241033093,0.9233405976136871,1.0
